id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
9040600,5020,HOUSE,HOUSE,225000.0,FOR_SALE,4.0,121.0,HYPER_EQUIPPED,False,False,True,24.0,True,222.0,565.0,4.0,,GOOD
9041049,8370,HOUSE,HOUSE,255000.0,FOR_SALE,3.0,143.0,HYPER_EQUIPPED,False,False,,,True,,196.0,,False,AS_NEW
9041630,9800,HOUSE,HOUSE,450000.0,FOR_SALE,4.0,260.0,INSTALLED,,False,True,19.0,True,,630.0,,False,AS_NEW
9038289,1070,APARTMENT,APARTMENT,227000.0,FOR_SALE,3.0,70.0,INSTALLED,False,False,,,,,,2.0,,AS_NEW
9030620,1340,APARTMENT,APARTMENT,340000.0,FOR_SALE,2.0,98.0,,,False,True,18.0,,,,3.0,,AS_NEW
9030619,1340,APARTMENT,APARTMENT,350000.0,FOR_SALE,2.0,101.0,,,False,True,18.0,,,,2.0,,AS_NEW
9006234,1325,HOUSE,CHALET,50000.0,FOR_SALE,1.0,55.0,,,False,,,True,500.0,655.0,4.0,,TO_RENOVATE
9009298,9300,HOUSE,HOUSE,,FOR_SALE,2.0,130.0,SEMI_EQUIPPED,,False,True,,True,17.0,100.0,2.0,,GOOD
8944998,4260,HOUSE,HOUSE,59000.0,FOR_SALE,2.0,93.0,NOT_INSTALLED,False,False,,,,,0.0,4.0,False,TO_RENOVATE
8691607,6460,HOUSE,VILLA,,FOR_SALE,3.0,280.0,,False,False,,,True,,1800.0,4.0,,GOOD
8915451,7370,HOUSE,HOUSE,60000.0,FOR_SALE,1.0,66.0,,False,False,,,,,100.0,2.0,,GOOD
8925881,7300,HOUSE,HOUSE,65000.0,FOR_SALE,2.0,129.0,,False,False,True,20.0,,,460.0,2.0,,TO_BE_DONE_UP
9017671,7390,HOUSE,HOUSE,75000.0,FOR_SALE,2.0,135.0,SEMI_EQUIPPED,False,False,,,True,421.0,421.0,2.0,False,GOOD
8949779,6200,HOUSE,HOUSE,79000.0,FOR_SALE,2.0,85.0,INSTALLED,False,False,,,True,,231.0,2.0,False,TO_BE_DONE_UP
8858485,6600,HOUSE,HOUSE,88500.0,FOR_SALE,3.0,120.0,NOT_INSTALLED,False,False,,,True,70.0,110.0,2.0,False,
8947543,4102,HOUSE,HOUSE,99000.0,FOR_SALE,2.0,80.0,NOT_INSTALLED,,False,True,30.0,,,130.0,2.0,,TO_BE_DONE_UP
8971262,6043,HOUSE,HOUSE,100000.0,FOR_SALE,3.0,,INSTALLED,,False,True,,,,386.0,4.0,,GOOD
8854283,7521,HOUSE,VILLA,,FOR_SALE,3.0,240.0,INSTALLED,,False,True,,,,1853.0,4.0,,GOOD
8978463,4520,HOUSE,VILLA,110000.0,FOR_SALE,3.0,207.0,,,True,True,,True,450.0,625.0,4.0,,
8462951,4860,HOUSE,HOUSE,117500.0,FOR_SALE,3.0,90.0,INSTALLED,False,False,True,17.0,,,0.0,2.0,False,GOOD
8804520,7940,HOUSE,HOUSE,118000.0,FOR_SALE,4.0,175.0,SEMI_EQUIPPED,,False,,,,,160.0,3.0,,GOOD
8966690,4624,HOUSE,HOUSE,120000.0,FOR_SALE,2.0,,INSTALLED,,False,True,22.0,True,225.0,499.0,4.0,,GOOD
8973666,4800,HOUSE,HOUSE,125000.0,FOR_SALE,6.0,254.0,,,False,True,,True,,490.0,4.0,,TO_BE_DONE_UP
8912476,4800,HOUSE,MIXED_USE_BUILDING,125000.0,FOR_SALE,4.0,150.0,SEMI_EQUIPPED,False,False,,,,,0.0,2.0,False,GOOD
8809677,7861,HOUSE,HOUSE,128000.0,FOR_SALE,3.0,180.0,SEMI_EQUIPPED,,False,,,,,443.0,2.0,,TO_RENOVATE
8722039,4500,HOUSE,HOUSE,129000.0,FOR_SALE,3.0,123.0,SEMI_EQUIPPED,,False,True,20.0,True,200.0,370.0,2.0,,GOOD
8976466,5580,HOUSE,HOUSE,129000.0,FOR_SALE,5.0,195.0,NOT_INSTALLED,False,False,,,True,440.0,440.0,2.0,False,
8956167,4020,HOUSE,HOUSE,135000.0,FOR_SALE,4.0,125.0,NOT_INSTALLED,,False,,,True,100.0,270.0,2.0,,
8956878,4100,HOUSE,HOUSE,135000.0,FOR_SALE,3.0,,NOT_INSTALLED,False,False,True,27.0,True,568.0,649.0,3.0,False,TO_RENOVATE
8977715,6850,HOUSE,FARMHOUSE,135000.0,FOR_SALE,3.0,,,,False,,,True,,583.0,2.0,,TO_RENOVATE
8963544,4420,HOUSE,HOUSE,139000.0,FOR_SALE,2.0,160.0,INSTALLED,,False,True,,,,293.0,2.0,,TO_RENOVATE
8879228,4540,HOUSE,HOUSE,139000.0,FOR_SALE,2.0,115.0,INSTALLED,,False,True,7.0,True,40.0,100.0,3.0,,GOOD
8960781,9600,HOUSE,HOUSE,139000.0,FOR_SALE,2.0,145.0,SEMI_EQUIPPED,,False,True,,,,76.0,2.0,,GOOD
8965474,8530,HOUSE,HOUSE,139500.0,FOR_SALE,3.0,170.0,SEMI_EQUIPPED,,False,True,,,,75.0,3.0,,TO_RENOVATE
9003865,6220,HOUSE,HOUSE,140000.0,FOR_SALE,5.0,220.0,NOT_INSTALLED,,False,,,,,110.0,2.0,,TO_RENOVATE
8881110,4910,HOUSE,HOUSE,145000.0,FOR_SALE,3.0,120.0,NOT_INSTALLED,False,False,True,30.0,,,0.0,3.0,False,TO_BE_DONE_UP
8885929,6900,HOUSE,HOUSE,149000.0,FOR_SALE,2.0,105.0,SEMI_EQUIPPED,,False,,,,,0.0,2.0,,GOOD
8978060,4800,HOUSE,HOUSE,150000.0,FOR_SALE,5.0,,INSTALLED,,False,True,,,,335.0,3.0,,GOOD
8797506,6150,HOUSE,TOWN_HOUSE,155000.0,FOR_SALE,2.0,114.0,INSTALLED,False,False,True,30.0,,,110.0,2.0,False,AS_NEW
8743938,7340,HOUSE,HOUSE,155000.0,FOR_SALE,3.0,160.0,,,False,,,,,334.0,2.0,,AS_NEW
8873411,7700,HOUSE,HOUSE,155000.0,FOR_SALE,3.0,110.0,SEMI_EQUIPPED,,False,True,10.0,True,60.0,130.0,2.0,,TO_RENOVATE
8830362,9660,HOUSE,HOUSE,155000.0,FOR_SALE,2.0,210.0,NOT_INSTALLED,,False,,,,,0.0,2.0,,TO_BE_DONE_UP
8893634,2360,HOUSE,HOUSE,159000.0,FOR_SALE,2.0,100.0,NOT_INSTALLED,,False,,,,,445.0,3.0,,TO_RENOVATE
8671520,4800,HOUSE,HOUSE,159000.0,FOR_SALE,5.0,290.0,SEMI_EQUIPPED,False,False,,,True,200.0,300.0,2.0,False,TO_BE_DONE_UP
8066209,6000,HOUSE,HOUSE,159000.0,FOR_SALE,2.0,150.0,INSTALLED,,False,,,,,55.0,2.0,,TO_BE_DONE_UP
8980308,6220,HOUSE,HOUSE,159000.0,FOR_SALE,2.0,90.0,SEMI_EQUIPPED,,False,,,,,1080.0,2.0,,GOOD
8887337,6850,HOUSE,HOUSE,160000.0,FOR_SALE,2.0,216.0,INSTALLED,False,False,,,True,894.0,894.0,4.0,False,GOOD
8743641,9600,HOUSE,HOUSE,160000.0,FOR_SALE,2.0,125.0,INSTALLED,,False,,,,,51.0,2.0,,TO_RENOVATE
8947533,6001,HOUSE,HOUSE,162500.0,FOR_SALE,2.0,,HYPER_EQUIPPED,,False,True,,True,,115.0,2.0,,AS_NEW
8823622,6637,HOUSE,HOUSE,165000.0,FOR_SALE,3.0,162.0,INSTALLED,,False,,,,,3914.0,4.0,,TO_RENOVATE
8729263,6700,HOUSE,HOUSE,165000.0,FOR_SALE,3.0,143.0,NOT_INSTALLED,,False,,,,,155.0,2.0,,TO_RENOVATE
8446437,7890,HOUSE,HOUSE,165000.0,FOR_SALE,3.0,298.0,SEMI_EQUIPPED,,False,,,,,330.0,2.0,,GOOD
8840016,4140,HOUSE,HOUSE,167000.0,FOR_SALE,3.0,140.0,,,False,,,True,315.0,507.0,3.0,,
8875653,7950,HOUSE,HOUSE,168000.0,FOR_SALE,3.0,190.0,SEMI_EQUIPPED,,False,,,True,1247.0,1357.0,3.0,,TO_RENOVATE
8900764,4820,HOUSE,HOUSE,169000.0,FOR_SALE,3.0,90.0,NOT_INSTALLED,False,False,True,17.0,True,100.0,0.0,2.0,False,GOOD
8752412,7700,HOUSE,HOUSE,169000.0,FOR_SALE,3.0,112.0,INSTALLED,,False,True,12.0,True,180.0,260.0,2.0,,JUST_RENOVATED
8959333,4540,HOUSE,HOUSE,170000.0,FOR_SALE,3.0,144.0,HYPER_EQUIPPED,,False,,,True,180.0,250.0,3.0,,AS_NEW
8960879,6222,HOUSE,HOUSE,170000.0,FOR_SALE,4.0,175.0,NOT_INSTALLED,,False,,,,,687.0,3.0,,
8967589,6600,HOUSE,HOUSE,170000.0,FOR_SALE,3.0,,SEMI_EQUIPPED,,False,,,True,,308.0,2.0,,GOOD
8862359,7950,HOUSE,HOUSE,170000.0,FOR_SALE,2.0,230.0,SEMI_EQUIPPED,,False,,,True,,492.0,3.0,,TO_RENOVATE
